Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
CXCL10,CXCL10,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.086,  p = 0.2","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CXCL10,CXCL10,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CXCL11,CXCL11,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.022,  p = 0.74","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CXCL11,CXCL11,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
CXCL9,CXCL9,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,56.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.11,  p = 0.11","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
FGF21,FGF21,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,103.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.056,  p = 0.4","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
HGF,HGF,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,72.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.056,  p = 0.4","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
MMP1,MMP1,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,34.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.13,  p = 0.055","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
MMP1,MMP1,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,34.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.074,  p = 0.27","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
Oncostatin-M,Oncostatin-M,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,125.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.81,  p = 0.23","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
VEGFA,VEGFA,Biological markers,Biological markers,S. Waterfield; P. D. Yousefi; M. Suderman,2024.0,DNA methylation models of protein abundance across the lifecourse,,159.0,Pre-established MPS,222.0,1819.0,,,,,Population-based,Population-based cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)",450K,European,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),"Reported | Correlation | r = 0.096,  p = 0.15","Reported | r>.1, p<.05",No,No,Not reported,No,Not reported,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",https://www.medrxiv.org/content/10.1101/2024.06.13.24308877.abstract,https://elifesciences.org/articles/71802,No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,K. Xu; S. Li; T. P. Whitehead; P. Pandey; A. Y. Kang; L. M. Morimoto; S. C. Kogan; C. Metayer; J. L. Wiemels; A. J. de Smith,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,26.0,28.0,Pre-established MPS,482.0,1278.0,,168.0,,110.0,Cohort study,Population-based,Birth,Birth,Dried bloodspot,Cord blood,EPICv1,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | Correlation | r = 0.11,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",No,Yes,"Common CpGs, complete case analyses",Not reported,cell type heterogeneity using principal components (PCs) and genetic ancestry using PCs,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.","http://dx.doi.org/10.1158/1055-9965.Epi-21-0009_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=34020997_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med20&DO=10.1158%2f1055-9965.EPI-21-0009",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/,No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,K. Xu; S. Li; T. P. Whitehead; P. Pandey; A. Y. Kang; L. M. Morimoto; S. C. Kogan; C. Metayer; J. L. Wiemels; A. J. de Smith,2021.0,Epigenetic Biomarkers of Prenatal Tobacco Smoke Exposure Are Associated with Gene Deletions in Childhood Acute Lymphoblastic Leukemia,28.0,28.0,Pre-established MPS,482.0,1278.0,,168.0,,110.0,Cohort study,Population-based,Birth,Birth,Dried bloodspot,Cord blood,450K,450K,Mixed,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 200,,,,,,,,,,Penalized regression | Lasso,No,Train/test split: 80/20%,No,No,Reported | Correlation | r = 0.17,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",No,Yes,Complete case analyses,Not reported,cell type heterogeneity using principal components (PCs) and genetic ancestry using PCs,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.","http://dx.doi.org/10.1158/1055-9965.Epi-21-0009_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=34020997_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med20&DO=10.1158%2f1055-9965.EPI-21-0009",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/,No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,R. Zou; O. D. Boer; J. F. Felix; R. L. Muetzel; I. H. A. Franken; C. A. M. Cecil; H. El Marroun,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,551.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | bonferroni < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate","http://dx.doi.org/10.1001/jamanetworkopen.2022.24701_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=35913739_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1001%2fjamanetworkopen.2022.24701",https://pubmed.ncbi.nlm.nih.gov/27040690/,Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,R. Zou; O. D. Boer; J. F. Felix; R. L. Muetzel; I. H. A. Franken; C. A. M. Cecil; H. El Marroun,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,62.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | bonferroni < .05,,Biological relevance | Functional annotation | Grouped to genes,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate","http://dx.doi.org/10.1001/jamanetworkopen.2022.24701_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=35913739_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1001%2fjamanetworkopen.2022.24701",https://pubmed.ncbi.nlm.nih.gov/27040690/,Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,R. Zou; O. D. Boer; J. F. Felix; R. L. Muetzel; I. H. A. Franken; C. A. M. Cecil; H. El Marroun,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,5643.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression | b = 0.28, 95% CI 0.21-0.35",,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate","http://dx.doi.org/10.1001/jamanetworkopen.2022.24701_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=35913739_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1001%2fjamanetworkopen.2022.24701",https://pubmed.ncbi.nlm.nih.gov/27040690/,Yes,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,R. Zou; O. D. Boer; J. F. Felix; R. L. Muetzel; I. H. A. Franken; C. A. M. Cecil; H. El Marroun,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,405.0,,Published summary statistics (semi-supervised),784.0,,167.0,,617.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | FDR < .05,,Biological relevance | Functional annotation | Grouped to genes,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,"Reported | Linear regression | b = 0.02, 95% CI 0.02-0.03",,No,,Common CpGs,,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate","http://dx.doi.org/10.1001/jamanetworkopen.2022.24701_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=35913739_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1001%2fjamanetworkopen.2022.24701",https://pubmed.ncbi.nlm.nih.gov/27040690/,Yes,
