Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
BMI,BMI,Physical health indicators,Physical health indicators,Reed et al.,2020.0,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,135.0,,Published summary statistics (semi-supervised),906.0,,,,,,Population-based,,Birth,Adulthood,Cord blood,Whole blood,450K,450K,European,White,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,,No,,"Reported | Explained variance | R2=2%, p = 6.83E−05",,No,,Not reported,,"sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).","age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects",No,
BMI,BMI,Physical health indicators,Physical health indicators,Reed et al.,2020.0,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,135.0,,Published summary statistics (semi-supervised),906.0,,,,,,Population-based,,Mid childhood,Adulthood,Peripheral blood,Whole blood,450K,450K,European,White,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,,No,,No,,"Reported | Explained variance | R2=1%, p = 2.23E−04",,No,,Not reported,,"age (except at birth), sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).","age, sex, family relatedness (random effect), and surrogate variables (to account for differential cell proportions and technical effects",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Reese et al.,2017.0,DNA Methylation Score as a Biomarker in Newborns for Sustained Maternal Smoking during Pregnancy,28.0,,Published summary statistics (semi-supervised),1278.0,,168.0,,110.0,,Population-based,,Birth,Birth,Cord blood,Cord blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | top-ranking ?,,,,,,,,,,Discovery EWAS | Linear regression,,Train/test split: 80/20%,,No,,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 82%, sensitivity = 81%, specificity = 82%); test set (n = 221, sensitivity = 83%, accuracy = 60%, specificity = 87%) ",,Yes,,Not reported,,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",Yes,
AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,103.0,103.0,Pre-established MPS,207.0,754.0,9.0,5.0,198.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
BAFopathy syndrome: no subtype specified,BAFopathy syndrome: no subtype specified,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,140.0,140.0,Pre-established MPS,207.0,889.0,38.0,140.0,169.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
CHARGE syndrome,CHARGE syndrome,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,148.0,148.0,Pre-established MPS,207.0,809.0,10.0,60.0,197.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Claes-Jensen syndrome,Claes-Jensen syndrome,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,127.0,127.0,Pre-established MPS,207.0,783.0,7.0,34.0,200.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Cornelia de Lange syndrome (CdLS),Cornelia de Lange syndrome (CdLS),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,128.0,128.0,Pre-established MPS,207.0,790.0,17.0,41.0,190.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
"Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)","Genitopatellar syndrome (GTPTS) and Ohdo syndrome, SBBYSS variant (SBBYSS)",Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,106.0,106.0,Pre-established MPS,207.0,754.0,5.0,5.0,202.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Helsmoortel–van der Aa syndrome (HVDAS) / ADNP,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,105.0,105.0,Pre-established MPS,207.0,768.0,11.0,32.0,196.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
"Intellectual developmental disorder, X-linked 93 (MRX93)","Intellectual developmental disorder, X-linked 93 (MRX93)",Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,110.0,110.0,Pre-established MPS,207.0,754.0,2.0,5.0,205.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Kabuki syndrome,Kabuki syndrome,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,153.0,153.0,Pre-established MPS,207.0,836.0,17.0,87.0,190.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Kleefstra syndrome (Kleefstra),Kleefstra syndrome (Kleefstra),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,107.0,107.0,Pre-established MPS,207.0,769.0,4.0,20.0,203.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Koolen de Vreis syndrome (KDVS),Koolen de Vreis syndrome (KDVS),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,136.0,136.0,Pre-established MPS,207.0,755.0,5.0,6.0,202.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Rubinstein-Taybi syndrome (RSTS),Rubinstein-Taybi syndrome (RSTS),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,139.0,139.0,Pre-established MPS,207.0,788.0,5.0,39.0,202.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Sotos syndrome,Sotos syndrome,Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,112.0,112.0,Pre-established MPS,207.0,811.0,12.0,62.0,195.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Tatton–Brown–Rahman syndrome (TBRS),Tatton–Brown–Rahman syndrome (TBRS),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,139.0,139.0,Pre-established MPS,207.0,763.0,2.0,14.0,205.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
Wiedemann-Steiner syndrome (WDSTS),Wiedemann-Steiner syndrome (WDSTS),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,104.0,104.0,Pre-established MPS,207.0,765.0,5.0,16.0,202.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Not reported,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
X-linked alpha-thalassemia/mental retardation syndrome (ATRX),X-linked alpha-thalassemia/mental retardation syndrome (ATRX),Genetic syndromes,Genetic syndromes,Sadikovic et al.,2021.0,Clinical epigenomics: genome-wide DNA methylation analysis for the diagnosis of Mendelian disorders,101.0,101.0,Pre-established MPS,207.0,767.0,6.0,18.0,201.0,749.0,Case control,Case control,Childhood and adolescence,Not reported,Peripheral blood,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Machine learning | Support vector machine,No,Train/test split: 75/25% | 10-fold cross-validation,No,Yes (n = 965),Not assessed,Reported | Specifivity/sensitivity = 100%,No,No,Not reported,No,Not reported,"Cell type, 10 PCs",No,
